function	file	line	source
receive_framebuffer_update	working/b4a/ps2vnc_management_core.inc	359	receive_framebuffer_update(
receive_framebuffer_update	working/b4a/ps2vnc_management_core.inc	532	receive_framebuffer_update(
receive_framebuffer_update	working/b4a/ps2vnc_runtime_tail.inc	888	int receive_framebuffer_update(
receive_framebuffer_update	working/b4a/ps2vnc_runtime_tail.inc	1016	* remains owned by receive_framebuffer_update() while
receive_framebuffer_update	working/b4a/ps2vnc_runtime_tail.inc	1058	if (receive_framebuffer_update(
receive_framebuffer_update	working/b4a/ps2vnc_runtime_tail.inc	1078	* receive_framebuffer_update() already rejects an EDS rectangle
receive_framebuffer_update	working/b4a/ps2vnc_services_imports.h	78	int receive_framebuffer_update( int sock, unsigned short *rfb_framebuffer, unsigned short *gs_framebuffer, int verbose, int require_full);
recover_rfb_connection	working/b4a/ps2vnc_display_tail.inc	1203	recover_rfb_connection(
recover_rfb_connection	working/b4a/ps2vnc_display_tail.inc	1404	recover_rfb_connection(
recover_rfb_connection	working/b4a/ps2vnc_management_core.inc	217	int recover_rfb_connection(
recover_rfb_connection	working/b4a/ps2vnc_management_core.inc	595	new_sock = recover_rfb_connection(
recover_rfb_connection	working/b4a/ps2vnc_services_exports.h	50	int recover_rfb_connection( int old_sock, unsigned short *rfb_framebuffer, unsigned short *gs_framebuffer, GSGLOBAL *gsGlobal, GSTEXTURE *tex, GSTEXTURE *osk_tex);
recover_rfb_transport_for_display_rollback	working/b4a/ps2vnc_display_core.inc	464	recover_rfb_transport_for_display_rollback(
recover_rfb_transport_for_display_rollback	working/b4a/ps2vnc_management_core.inc	439	int recover_rfb_transport_for_display_rollback(
recover_rfb_transport_for_display_rollback	working/b4a/ps2vnc_services_exports.h	51	int recover_rfb_transport_for_display_rollback( int old_sock, unsigned short *rfb_framebuffer, unsigned short *gs_framebuffer, const ps2vnc_video_mode_t *handshake_mode);
request_and_confirm_desktop_size	working/b4a/ps2vnc_calibration_core.inc	578	if (request_and_confirm_desktop_size(
request_and_confirm_desktop_size	working/b4a/ps2vnc_calibration_core.inc	589	* request_and_confirm_desktop_size() has now received and
request_and_confirm_desktop_size	working/b4a/ps2vnc_calibration_tail.inc	907	if (request_and_confirm_desktop_size(
request_and_confirm_desktop_size	working/b4a/ps2vnc_display_core.inc	82	if (request_and_confirm_desktop_size(
request_and_confirm_desktop_size	working/b4a/ps2vnc_display_tail.inc	102	if (request_and_confirm_desktop_size(
request_and_confirm_desktop_size	working/b4a/ps2vnc_management_core.inc	344	if (request_and_confirm_desktop_size(
request_and_confirm_desktop_size	working/b4a/ps2vnc_runtime_tail.inc	989	int request_and_confirm_desktop_size(
request_and_confirm_desktop_size	working/b4a/ps2vnc_services_imports.h	80	int request_and_confirm_desktop_size( int sock, unsigned short *rfb_framebuffer, unsigned short *gs_framebuffer, unsigned int width, unsigned int height);
request_framebuffer	working/b4a/ps2vnc_calibration_core.inc	543	request_framebuffer(sock, 0) < 0)
request_framebuffer	working/b4a/ps2vnc_calibration_core.inc	606	request_framebuffer(sock, 0) < 0 ||
request_framebuffer	working/b4a/ps2vnc_calibration_tail.inc	938	if (request_framebuffer(sock, 0) < 0)
request_framebuffer	working/b4a/ps2vnc_display_core.inc	114	if (request_framebuffer(sock, 0) < 0)
request_framebuffer	working/b4a/ps2vnc_display_tail.inc	139	if (request_framebuffer(sock, 0) < 0)
request_framebuffer	working/b4a/ps2vnc_display_tail.inc	1160	if (request_framebuffer(sock, 1) < 0) {
request_framebuffer	working/b4a/ps2vnc_framebuffer_core.inc	43	int request_framebuffer(int sock, int incremental)
request_framebuffer	working/b4a/ps2vnc_framebuffer_core.inc	994	if (request_framebuffer(sock, 0) < 0) {
request_framebuffer	working/b4a/ps2vnc_management_core.inc	165	if (ok && request_framebuffer(sock, 0) < 0)
request_framebuffer	working/b4a/ps2vnc_management_core.inc	316	request_framebuffer(
request_framebuffer	working/b4a/ps2vnc_management_core.inc	358	request_framebuffer(new_sock, 0) < 0 ||
request_framebuffer	working/b4a/ps2vnc_management_core.inc	528	request_framebuffer(new_sock, 0) < 0)
request_framebuffer	working/b4a/ps2vnc_services_imports.h	81	int request_framebuffer(int sock, int incremental);
rfb_connect_and_handshake_limited	working/b4a/ps2vnc_calibration_core.inc	506	sock = rfb_connect_and_handshake_limited(
rfb_connect_and_handshake_limited	working/b4a/ps2vnc_management_core.inc	508	new_sock = rfb_connect_and_handshake_limited(
rfb_connect_and_handshake_limited	working/b4a/ps2vnc_runtime_tail.inc	483	int rfb_connect_and_handshake_limited(
rfb_connect_and_handshake_limited	working/b4a/ps2vnc_runtime_tail.inc	760	return rfb_connect_and_handshake_limited(
rfb_connect_and_handshake_limited	working/b4a/ps2vnc_services_imports.h	84	int rfb_connect_and_handshake_limited( unsigned int max_width, unsigned int max_height);
run_screen_fit_calibration	working/b4a/ps2vnc_calibration_tail.inc	409	int run_screen_fit_calibration(
run_screen_fit_calibration	working/b4a/ps2vnc_calibration_tail.inc	1057	if (run_screen_fit_calibration(
run_screen_fit_calibration	working/b4a/ps2vnc_display_tail.inc	52	if (run_screen_fit_calibration(
run_screen_fit_calibration	working/b4a/ps2vnc_services_exports.h	52	int run_screen_fit_calibration( GSGLOBAL *gsGlobal, u64 black, int save_on_accept, int *accepted_out);
screen_fit_apply_preset	working/b4a/ps2vnc_calibration_core.inc	1241	* screen_fit_apply_preset() validates against active_video_mode,
screen_fit_apply_preset	working/b4a/ps2vnc_calibration_tail.inc	527	if (screen_fit_apply_preset(
screen_fit_apply_preset	working/b4a/ps2vnc_calibration_tail.inc	570	screen_fit_apply_preset(
screen_fit_apply_preset	working/b4a/ps2vnc_display_core.inc	503	if (!screen_fit_apply_preset(
screen_fit_apply_preset	working/b4a/ps2vnc_management_core.inc	750	int screen_fit_apply_preset(
screen_fit_apply_preset	working/b4a/ps2vnc_management_core.inc	846	* translated OUTER rectangle through screen_fit_apply_preset().
screen_fit_apply_preset	working/b4a/ps2vnc_management_core.inc	1404	return screen_fit_apply_preset(
screen_fit_apply_preset	working/b4a/ps2vnc_management_core.inc	1441	*     ps2vnc_config_apply_display() -> screen_fit_apply_preset()
screen_fit_apply_preset	working/b4a/ps2vnc_services_exports.h	53	int screen_fit_apply_preset( int width, int height, int offset_x, int offset_y, int full_bypass);
screen_fit_clamp_interactive	working/b4a/ps2vnc_calibration_core.inc	1538	void screen_fit_clamp_interactive(
screen_fit_clamp_interactive	working/b4a/ps2vnc_calibration_core_to_tail.h	23	extern void screen_fit_clamp_interactive (int *width, int *height, int *offset_x, int *offset_y);
screen_fit_clamp_interactive	working/b4a/ps2vnc_calibration_tail.inc	479	screen_fit_clamp_interactive(
screen_fit_clamp_interactive	working/b4a/ps2vnc_calibration_tail.inc	678	screen_fit_clamp_interactive(
screen_fit_geometry_valid	working/b4a/ps2vnc_calibration_core.inc	823	if (!screen_fit_geometry_valid(
screen_fit_geometry_valid	working/b4a/ps2vnc_calibration_core_to_tail.h	24	extern int screen_fit_geometry_valid (int width, int height, int offset_x, int offset_y);
screen_fit_geometry_valid	working/b4a/ps2vnc_calibration_tail.inc	722	if (!screen_fit_geometry_valid(
screen_fit_geometry_valid	working/b4a/ps2vnc_management_core.inc	728	int screen_fit_geometry_valid(
screen_fit_geometry_valid	working/b4a/ps2vnc_management_core.inc	776	} else if (screen_fit_geometry_valid(
screen_fit_geometry_valid_for_mode	working/b4a/ps2vnc_calibration_core.inc	1048	if (!screen_fit_geometry_valid_for_mode(
screen_fit_geometry_valid_for_mode	working/b4a/ps2vnc_management_core.inc	666	static int screen_fit_geometry_valid_for_mode(
screen_fit_geometry_valid_for_mode	working/b4a/ps2vnc_management_core.inc	726	* screen_fit_geometry_valid_for_mode() without changing GS state.
screen_fit_geometry_valid_for_mode	working/b4a/ps2vnc_management_core.inc	734	return screen_fit_geometry_valid_for_mode(
screen_fit_geometry_valid_for_mode	working/b4a/ps2vnc_management_core.inc	1310	if (!screen_fit_geometry_valid_for_mode(
startup_force_calibration_requested	working/b4a/ps2vnc_display_tail.inc	1562	startup_force_calibration_requested();
startup_force_calibration_requested	working/b4a/ps2vnc_runtime_tail.inc	404	int startup_force_calibration_requested(void)
startup_force_calibration_requested	working/b4a/ps2vnc_runtime_to_ui_display.h	496	extern int startup_force_calibration_requested (void);
sync_copy_hires_dirty_rows	working/b4a/ps2vnc_framebuffer_core.inc	1194	int sync_copy_hires_dirty_rows(
sync_copy_hires_dirty_rows	working/b4a/ps2vnc_framebuffer_core_to_tail.h	14	extern int sync_copy_hires_dirty_rows (short unsigned int *dst, const short unsigned int *src);
sync_copy_hires_dirty_rows	working/b4a/ps2vnc_framebuffer_tail.inc	590	if (sync_copy_hires_dirty_rows(
sync_copy_hires_dirty_rows	working/b4a/ps2vnc_framebuffer_tail.inc	613	if (sync_copy_hires_dirty_rows(
sync_copy_hires_region	working/b4a/ps2vnc_framebuffer_core.inc	1158	static int sync_copy_hires_region(
update_hires_background_region	working/b4a/ps2vnc_framebuffer_tail.inc	1052	static int update_hires_background_region(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_core.inc	1174	int wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_core_to_tail.h	28	extern int wake_renderer_with_pointer_jiggle (int sock, int x, int y);
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	139	(void)wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	292	(void)wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	351	(void)wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	371	(void)wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	415	(void)wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	512	(void)wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	567	(void)wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	650	(void)wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	766	(void)wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	994	if (wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	1039	if (wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	1064	if (wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	1130	if (wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	1143	if (wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	1156	if (wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	1169	if (wake_renderer_with_pointer_jiggle(
wake_renderer_with_pointer_jiggle	working/b4a/ps2vnc_ui_tail.inc	1533	if (wake_renderer_with_pointer_jiggle(
